index,N,adj_r2,parameter,HHSIZE,INCOME,ROOMS,DETTACHED,OWN,DEGREE,VEH
TotalExpenditures,23209,0.308,Beta,0.212,0.219,0.257,0.01,-0.037,0.278,0.198
TotalExpenditures, , ,SE,0.009,0.004,0.015,0.009,0.012,0.01,0.009
TotalExpenditures,  ,  ,Confidence Level,0.0,0.0,0.0,0.267,0.001,0.0,0.0
TotalFood,23151,0.219,Beta,0.413,0.128,0.139,-0.009,0.033,0.171,0.065
TotalFood, , ,SE,0.009,0.004,0.015,0.009,0.012,0.01,0.01
TotalFood,  ,  ,Confidence Level,0.0,0.0,0.0,0.356,0.005,0.0,0.0
Transportation,23067,0.163,Beta,0.315,0.182,0.037,-0.004,-0.087,0.175,0.504
Transportation, , ,SE,0.015,0.007,0.025,0.015,0.019,0.016,0.016
Transportation,  ,  ,Confidence Level,0.0,0.0,0.143,0.798,0.0,0.0,0.0
UtilitiesFuelsAndPublicServices,22955,0.239,Beta,0.286,0.064,0.446,0.01,0.283,-0.012,0.083
UtilitiesFuelsAndPublicServices, , ,SE,0.009,0.004,0.015,0.009,0.012,0.01,0.009
UtilitiesFuelsAndPublicServices,  ,  ,Confidence Level,0.0,0.0,0.0,0.272,0.0,0.193,0.0
VehicleFinanceCharges,8038,0.023,Beta,0.084,0.087,0.053,0.037,-0.121,-0.113,0.173
VehicleFinanceCharges, , ,SE,0.025,0.012,0.041,0.025,0.031,0.025,0.025
VehicleFinanceCharges,  ,  ,Confidence Level,0.001,0.0,0.205,0.141,0.0,0.0,0.0
VehicleInsurance,9207,0.119,Beta,0.089,0.085,0.128,-0.009,0.044,0.034,0.269
VehicleInsurance, , ,SE,0.014,0.007,0.024,0.015,0.018,0.015,0.015
VehicleInsurance,  ,  ,Confidence Level,0.0,0.0,0.0,0.53,0.016,0.028,0.0
VehicleRentalLeases,8959,0.04,Beta,0.23,0.2,0.171,-0.023,0.132,0.068,-0.35
VehicleRentalLeases, , ,SE,0.035,0.016,0.057,0.034,0.046,0.036,0.033
VehicleRentalLeases,  ,  ,Confidence Level,0.0,0.0,0.003,0.506,0.004,0.055,0.0
WaterAndOtherPublicServices,15126,0.068,Beta,0.288,0.027,0.248,0.003,0.119,0.041,-0.054
WaterAndOtherPublicServices, , ,SE,0.012,0.006,0.022,0.013,0.017,0.013,0.012
WaterAndOtherPublicServices,  ,  ,Confidence Level,0.0,0.0,0.0,0.82,0.0,0.002,0.0
